index,name_zh,name_original,folder
1,"阿伯拉尔","Peter Abelard","C:\Users\30290\Desktop\PhilosophyOS\photo\阿伯拉尔"
2,"阿多诺","Theodor Adorno","C:\Users\30290\Desktop\PhilosophyOS\photo\阿多诺"
3,"阿甘本","Giorgio Agamben","C:\Users\30290\Desktop\PhilosophyOS\photo\阿甘本"
4,"阿德勒","Alfred Adler","C:\Users\30290\Desktop\PhilosophyOS\photo\阿德勒"
5,"阿尔都塞","Louis Althusser","C:\Users\30290\Desktop\PhilosophyOS\photo\阿尔都塞"
6,"安瑟伦","Anselm of Canterbury","C:\Users\30290\Desktop\PhilosophyOS\photo\安瑟伦"
7,"托马斯·阿奎那","Thomas Aquinas","C:\Users\30290\Desktop\PhilosophyOS\photo\托马斯·阿奎那"
8,"阿伦特","Hannah Arendt","C:\Users\30290\Desktop\PhilosophyOS\photo\阿伦特"
9,"亚里士多德","Aristotle","C:\Users\30290\Desktop\PhilosophyOS\photo\亚里士多德"
10,"奥古斯丁","Augustine of Hippo","C:\Users\30290\Desktop\PhilosophyOS\photo\奥古斯丁"
11,"阿威罗伊","Averroes","C:\Users\30290\Desktop\PhilosophyOS\photo\阿威罗伊"
12,"阿维森纳","Avicenna","C:\Users\30290\Desktop\PhilosophyOS\photo\阿维森纳"
13,"弗朗西斯·培根","Francis Bacon","C:\Users\30290\Desktop\PhilosophyOS\photo\弗朗西斯·培根"
14,"波伏瓦","Simone de Beauvoir","C:\Users\30290\Desktop\PhilosophyOS\photo\波伏瓦"
15,"本雅明","Walter Benjamin","C:\Users\30290\Desktop\PhilosophyOS\photo\本雅明"
16,"边沁","Jeremy Bentham","C:\Users\30290\Desktop\PhilosophyOS\photo\边沁"
17,"贝克莱","George Berkeley","C:\Users\30290\Desktop\PhilosophyOS\photo\贝克莱"
18,"波爱修斯","Boethius","C:\Users\30290\Desktop\PhilosophyOS\photo\波爱修斯"
19,"拉图尔","Bruno Latour","C:\Users\30290\Desktop\PhilosophyOS\photo\拉图尔"
20,"朱迪斯·巴特勒","Judith Butler","C:\Users\30290\Desktop\PhilosophyOS\photo\朱迪斯·巴特勒"
21,"加缪","Albert Camus","C:\Users\30290\Desktop\PhilosophyOS\photo\加缪"
22,"荣格","Carl Gustav Jung","C:\Users\30290\Desktop\PhilosophyOS\photo\荣格"
23,"施米特","Carl Schmitt","C:\Users\30290\Desktop\PhilosophyOS\photo\施米特"
24,"查尔斯·泰勒","Charles Taylor","C:\Users\30290\Desktop\PhilosophyOS\photo\查尔斯·泰勒"
25,"西塞罗","Cicero","C:\Users\30290\Desktop\PhilosophyOS\photo\西塞罗"
26,"孔德","Auguste Comte","C:\Users\30290\Desktop\PhilosophyOS\photo\孔德"
27,"达尔文","Charles Darwin","C:\Users\30290\Desktop\PhilosophyOS\photo\达尔文"
28,"德勒兹","Gilles Deleuze","C:\Users\30290\Desktop\PhilosophyOS\photo\德勒兹"
29,"德谟克利特","Democritus","C:\Users\30290\Desktop\PhilosophyOS\photo\德谟克利特"
30,"帕菲特","Derek Parfit","C:\Users\30290\Desktop\PhilosophyOS\photo\帕菲特"
31,"德里达","Jacques Derrida","C:\Users\30290\Desktop\PhilosophyOS\photo\德里达"
32,"笛卡尔","Rene Descartes","C:\Users\30290\Desktop\PhilosophyOS\photo\笛卡尔"
