id,name_zh,name_original,tradition,era,period,level,domains,status
thales,泰勒斯,Thales,western,前苏格拉底,约公元前6世纪,L1,形而上学|自然哲学,seed
pythagoras,毕达哥拉斯,Pythagoras,western,前苏格拉底,约公元前6世纪,L1,数与宇宙|灵魂,seed
heraclitus,赫拉克利特,Heraclitus,western,前苏格拉底,约公元前6至5世纪,L1,变化|逻各斯|对立,seed
parmenides,巴门尼德,Parmenides,western,前苏格拉底,约公元前5世纪,L1,存在|变化,seed
democritus,德谟克利特,Democritus,western,前苏格拉底,约公元前5至4世纪,L1,原子论|因果,seed
socrates,苏格拉底,Socrates,western,古典希腊,公元前5世纪,L2,伦理学|知识|对话,seed
plato,柏拉图,Plato,western,古典希腊,公元前5至4世纪,L3,理念|知识|政治|灵魂,seed
aristotle,亚里士多德,Aristotle,western,古典希腊,公元前4世纪,L3,形而上学|逻辑|伦理学|政治,seed
epicurus,伊壁鸠鲁,Epicurus,western,希腊化,公元前4至3世纪,L2,快乐|幸福|死亡,seed
zeno_citium,芝诺,Zeno of Citium,western,希腊化,公元前4至3世纪,L1,斯多葛主义|德性,seed
epictetus,爱比克泰德,Epictetus,western,罗马时期,约1至2世纪,L2,控制二分|自由|德性,seed
marcus_aurelius,马可·奥勒留,Marcus Aurelius,western,罗马时期,约2世纪,L1,斯多葛主义|自我修养,seed
plotinus,普罗提诺,Plotinus,western,晚期古代,约3世纪,L1,新柏拉图主义|太一,seed
augustine,奥古斯丁,Augustine of Hippo,western,中世纪早期,约4至5世纪,L2,时间|自由意志|信仰,seed
anselm,安瑟尔谟,Anselm of Canterbury,western,中世纪,约11世纪,L1,上帝存在|信仰与理性,seed
aquinas,托马斯·阿奎那,Thomas Aquinas,western,经院哲学,约13世纪,L2,自然法|存在|信仰与理性,seed
duns_scotus,邓斯·司各脱,John Duns Scotus,western,经院哲学,约13至14世纪,L1,存在单义性|意志,seed
ockham,奥卡姆,William of Ockham,western,中世纪晚期,约14世纪,L1,唯名论|简约原则,seed
machiavelli,马基雅维利,Niccolo Machiavelli,western,文艺复兴,约15至16世纪,L2,政治现实主义|权力,seed
francis_bacon,培根,Francis Bacon,western,近代开端,约16至17世纪,L2,经验方法|归纳|偶像,seed
hobbes,霍布斯,Thomas Hobbes,western,近代,约17世纪,L2,社会契约|国家|自由,seed
descartes,笛卡尔,Rene Descartes,western,理性主义,约17世纪,L2,怀疑|心物二元|自我,seed
spinoza,斯宾诺莎,Baruch Spinoza,western,理性主义,约17世纪,L3,实体|决定论|情感|自由,seed
leibniz,莱布尼茨,Gottfried Wilhelm Leibniz,western,理性主义,约17至18世纪,L2,单子|充足理由|可能世界,seed
locke,洛克,John Locke,western,经验主义,约17世纪,L2,经验|人格同一性|权利,seed
berkeley,贝克莱,George Berkeley,western,经验主义,约17至18世纪,L1,唯心主义|知觉,seed
hume,休谟,David Hume,western,经验主义,约18世纪,L3,因果|归纳|自我|道德情感,seed
rousseau,卢梭,Jean-Jacques Rousseau,western,启蒙运动,约18世纪,L2,社会契约|自由|文明批判,seed
