id,domain,era,difficulty,question,core_tension,philosopher_refs,followup_strategy,status
q001,认识论,古典希腊,入门,"如果一个人拥有正确答案却说不出理由，他真的拥有知识吗？",真信念与知识,plato,理由追问,reviewed
q002,伦理学,古典希腊,入门,"一种行为让你快乐，却削弱了你的能力，这仍是好的生活吗？",快乐与德性,aristotle|epicurus,反例检验,reviewed
q003,政治哲学,古典希腊,进阶,"如果多数人赞成一个不公正决定，它会因此变得正当吗？",多数与正义,plato|aristotle,前提暴露,reviewed
q004,形而上学,前苏格拉底,进阶,"如果世界始终变化，我们凭什么说一件事仍是同一件事？",变化与同一性,heraclitus|parmenides,概念澄清,reviewed
q005,伦理学,希腊化,入门,"减少欲望和实现更多欲望，哪一种更接近自由？",节制与满足,epicurus|epictetus,立场比较,reviewed
q006,存在主义,希腊化,入门,"死亡本身不可经验，我们为什么仍会害怕它？",死亡与恐惧,epicurus,理由追问,reviewed
q007,自由意志,斯多葛主义,进阶,"如果外部事件不受控制，专注内在判断是否会忽略现实责任？",内在控制与外部行动,epictetus|marcus_aurelius,边界检验,reviewed
q008,宗教哲学,中世纪,进阶,"如果恶来自人的自由，无法选择自身处境的人应承担多少责任？",自由与恶,augustine,反例检验,reviewed
q009,认识论,中世纪,进阶,"信仰能够成为理解的起点，还是必须先经过独立证明？",信仰与理性,anselm|aquinas,立场比较,reviewed
q010,伦理学,中世纪,入门,"一条自然法如果不是所有文化都承认，它仍能是普遍的吗？",自然法与文化差异,aquinas,反例检验,reviewed
q011,政治哲学,文艺复兴,进阶,"为了避免更大的混乱，政治领导者可以使用不道德手段吗？",政治效果与道德原则,machiavelli,情境检验,reviewed
q012,科学哲学,近代开端,入门,"经验积累得足够多，就能保证下一次仍然相同吗？",归纳与确定性,francis_bacon|hume,反例检验,reviewed
q013,政治哲学,近代,进阶,"为了安全交出多少自由，仍然算是自己的选择？",安全与自由,hobbes|locke,概念澄清,reviewed
q014,认识论,理性主义,入门,"彻底怀疑一切时，怀疑者至少还能确定什么？",怀疑与自我,descartes,推理展开,reviewed
q015,心灵哲学,理性主义,进阶,"如果心灵和身体是两种不同实体，它们如何相互影响？",心物二元,descartes,前提暴露,reviewed
q016,自由意志,理性主义,进阶,"理解欲望产生的原因，会增加自由还是只让必然性更清楚？",因果与自由,spinoza,实践含义,reviewed
q017,形而上学,理性主义,进阶,"每件事都需要充分理由时，理由链必须在哪里停止？",充足理由与第一因,leibniz,前提暴露,reviewed
q018,认识论,经验主义,入门,"如果所有观念来自经验，我们如何形成经验中从未完整出现的概念？",经验与抽象,locke|hume,反例检验,reviewed
q019,自我,经验主义,进阶,"记忆发生改变时，过去做出承诺的我还是现在的我吗？",记忆与人格同一性,locke,现实案例,reviewed
q020,形而上学,经验主义,进阶,"一个无人感知的物体以什么方式存在？",知觉与存在,berkeley,思想实验,reviewed
q021,认识论,经验主义,进阶,"因果关系是世界中的必然联系，还是头脑形成的习惯？",因果与习惯,hume,概念澄清,reviewed
q022,政治哲学,启蒙运动,入门,"服从自己参与制定的规则，为什么可能被称为自由？",个人欲望与共同规则,rousseau,理由追问,reviewed
q023,认识论,批判哲学,进阶,"如果认识总经过人的认知结构，我们还能谈论独立于人的世界吗？",现象与物自身,kant,概念澄清,reviewed
q024,伦理学,批判哲学,进阶,"出于同情做正确的事，与出于义务做正确的事，哪一种更有道德价值？",情感与义务,kant,立场比较,reviewed
q025,自由意志,批判哲学,进阶,"如果自然世界受因果支配，道德责任需要哪一种自由？",自然因果与实践自由,kant,概念分层,reviewed
q026,自我,德国观念论,进阶,"自我是在反思前已经存在，还是在行动中形成？",实体自我与行动,fichte|hegel,概念澄清,reviewed
q027,历史哲学,德国观念论,进阶,"历史中出现长期趋势，是否意味着它具有预定终点？",趋势与目的论,hegel|marx|popper,概念分层,reviewed
